primary_mass sec_mass period case donar_star donar_star_index donar_state
10.0 6.0 1.0 0 primary 1 1.0
10.0 6.0 1.2589254117941673 0 primary 1 1.0
10.0 6.0 1.5848931924611136 0 primary 1 1.0
10.0 6.0 1.9952623149688797 0 primary 1 1.0
10.0 6.0 2.51188643150958 0 primary 1 1.0
10.0 6.0 3.1622776601683795 0 primary 1 1.0
10.0 6.0 3.981071705534973 0 primary 1 1.0
10.0 6.0 5.011872336272724 0 primary 1 1.0
10.0 6.0 6.309573444801933 0 primary 1 1.0
10.0 6.0 7.943282347242816 1 primary 1 2.0
10.0 6.0 10.0 1 primary 1 2.0
10.0 6.0 12.589254117941675 1 primary 1 2.0
10.0 6.0 15.848931924611142 1 primary 1 2.0
10.0 6.0 19.952623149688797 1 primary 1 2.0
10.0 6.0 25.11886431509581 1 primary 1 2.0
10.0 6.0 31.622776601683793 1 primary 1 2.0
10.0 6.0 39.810717055349734 1 primary 1 2.0
10.0 6.0 50.11872336272725 1 primary 1 2.0
10.0 6.0 63.09573444801933 1 primary 1 2.0
10.0 6.0 79.43282347242817 1 primary 1 2.0
10.0 6.0 100.0 1 primary 1 2.0
10.0 6.0 125.89254117941675 1 primary 1 2.0
10.0 6.0 158.48931924611142 1 primary 1 2.0
10.0 6.0 199.52623149688807 1 primary 1 2.0
10.0 6.0 251.18864315095823 1 primary 1 2.0
10.0 6.0 316.22776601683796 1 primary 1 2.0
10.0 6.0 398.1071705534973 1 primary 1 3.0
10.0 6.0 501.18723362727246 1 primary 1 3.0
10.0 6.0 630.9573444801937 1 primary 1 3.0
10.0 6.0 794.3282347242822 1 primary 1 3.0
10.0 6.0 1000.0 1 primary 1 3.0
10.0 6.0 1258.9254117941675 1 primary 1 3.0
10.0 6.0 1584.893192461114 3 primary 1 5.0
10.0 6.0 1995.262314968881 3 primary 5 5.0
10.0 6.0 2511.886431509582 4 none 0 nan
10.0 6.0 3162.2776601683795 4 none 0 nan
10.0 6.0 3981.0717055349733 4 none 0 nan
10.0 6.0 5011.872336272725 4 none 0 nan
10.0 6.0 6309.573444801937 4 none 0 nan
10.0 6.0 7943.282347242822 4 none 0 nan
10.0 6.0 10000.0 4 none 0 nan
10.232929922807541 6.139757953684525 1.0 0 primary 1 1.0
10.232929922807541 6.139757953684525 1.2589254117941673 0 primary 1 1.0
10.232929922807541 6.139757953684525 1.5848931924611136 0 primary 1 1.0
10.232929922807541 6.139757953684525 1.9952623149688797 0 primary 1 1.0
10.232929922807541 6.139757953684525 2.51188643150958 0 primary 1 1.0
10.232929922807541 6.139757953684525 3.1622776601683795 0 primary 1 1.0
10.232929922807541 6.139757953684525 3.981071705534973 0 primary 1 1.0
10.232929922807541 6.139757953684525 5.011872336272724 0 primary 1 1.0
10.232929922807541 6.139757953684525 6.309573444801933 0 primary 1 1.0
10.232929922807541 6.139757953684525 7.943282347242816 1 primary 1 2.0
10.232929922807541 6.139757953684525 10.0 1 primary 1 2.0
10.232929922807541 6.139757953684525 12.589254117941675 1 primary 1 2.0
10.232929922807541 6.139757953684525 15.848931924611142 1 primary 1 2.0
10.232929922807541 6.139757953684525 19.952623149688797 1 primary 1 2.0
10.232929922807541 6.139757953684525 25.11886431509581 1 primary 1 2.0
10.232929922807541 6.139757953684525 31.622776601683793 1 primary 1 2.0
10.232929922807541 6.139757953684525 39.810717055349734 1 primary 1 2.0
10.232929922807541 6.139757953684525 50.11872336272725 1 primary 1 2.0
10.232929922807541 6.139757953684525 63.09573444801933 1 primary 1 2.0
10.232929922807541 6.139757953684525 79.43282347242817 1 primary 1 2.0
10.232929922807541 6.139757953684525 100.0 1 primary 1 2.0
10.232929922807541 6.139757953684525 125.89254117941675 1 primary 1 2.0
10.232929922807541 6.139757953684525 158.48931924611142 1 primary 1 2.0
10.232929922807541 6.139757953684525 199.52623149688807 1 primary 1 2.0
10.232929922807541 6.139757953684525 251.18864315095823 1 primary 1 2.0
10.232929922807541 6.139757953684525 316.22776601683796 1 primary 1 2.0
10.232929922807541 6.139757953684525 398.1071705534973 1 primary 1 3.0
10.232929922807541 6.139757953684525 501.18723362727246 1 primary 1 3.0
10.232929922807541 6.139757953684525 630.9573444801937 1 primary 1 3.0
10.232929922807541 6.139757953684525 794.3282347242822 1 primary 1 3.0
10.232929922807541 6.139757953684525 1000.0 1 primary 1 3.0
10.232929922807541 6.139757953684525 1258.9254117941675 1 primary 1 3.0
10.232929922807541 6.139757953684525 1584.893192461114 3 primary 1 5.0
10.232929922807541 6.139757953684525 1995.262314968881 3 primary 5 5.0
10.232929922807541 6.139757953684525 2511.886431509582 4 none 0 nan
10.232929922807541 6.139757953684525 3162.2776601683795 4 none 0 nan
10.232929922807541 6.139757953684525 3981.0717055349733 4 none 0 nan
10.232929922807541 6.139757953684525 5011.872336272725 4 none 0 nan
10.232929922807541 6.139757953684525 6309.573444801937 4 none 0 nan
10.232929922807541 6.139757953684525 7943.282347242822 4 none 0 nan
10.232929922807541 6.139757953684525 10000.0 4 none 0 nan
10.471285480508996 6.282771288305398 1.0 0 primary 1 1.0
10.471285480508996 6.282771288305398 1.2589254117941673 0 primary 1 1.0
10.471285480508996 6.282771288305398 1.5848931924611136 0 primary 1 1.0
10.471285480508996 6.282771288305398 1.9952623149688797 0 primary 1 1.0
10.471285480508996 6.282771288305398 2.51188643150958 0 primary 1 1.0
10.471285480508996 6.282771288305398 3.1622776601683795 0 primary 1 1.0
10.471285480508996 6.282771288305398 3.981071705534973 0 primary 1 1.0
10.471285480508996 6.282771288305398 5.011872336272724 0 primary 1 1.0
10.471285480508996 6.282771288305398 6.309573444801933 0 primary 1 1.0
10.471285480508996 6.282771288305398 7.943282347242816 1 primary 1 2.0
10.471285480508996 6.282771288305398 10.0 1 primary 1 2.0
10.471285480508996 6.282771288305398 12.589254117941675 1 primary 1 2.0
10.471285480508996 6.282771288305398 15.848931924611142 1 primary 1 2.0
10.471285480508996 6.282771288305398 19.952623149688797 1 primary 1 2.0
10.471285480508996 6.282771288305398 25.11886431509581 1 primary 1 2.0
10.471285480508996 6.282771288305398 31.622776601683793 1 primary 1 2.0
10.471285480508996 6.282771288305398 39.810717055349734 1 primary 1 2.0
10.471285480508996 6.282771288305398 50.11872336272725 1 primary 1 2.0
10.471285480508996 6.282771288305398 63.09573444801933 1 primary 1 2.0
10.471285480508996 6.282771288305398 79.43282347242817 1 primary 1 2.0
10.471285480508996 6.282771288305398 100.0 1 primary 1 2.0
10.471285480508996 6.282771288305398 125.89254117941675 1 primary 1 2.0
10.471285480508996 6.282771288305398 158.48931924611142 1 primary 1 2.0
10.471285480508996 6.282771288305398 199.52623149688807 1 primary 1 2.0
10.471285480508996 6.282771288305398 251.18864315095823 1 primary 1 2.0
10.471285480508996 6.282771288305398 316.22776601683796 1 primary 1 2.0
10.471285480508996 6.282771288305398 398.1071705534973 1 primary 1 3.0
10.471285480508996 6.282771288305398 501.18723362727246 1 primary 1 3.0
10.471285480508996 6.282771288305398 630.9573444801937 1 primary 1 3.0
10.471285480508996 6.282771288305398 794.3282347242822 1 primary 1 3.0
10.471285480508996 6.282771288305398 1000.0 1 primary 1 3.0
10.471285480508996 6.282771288305398 1258.9254117941675 1 primary 1 3.0
10.471285480508996 6.282771288305398 1584.893192461114 3 primary 1 5.0
10.471285480508996 6.282771288305398 1995.262314968881 3 primary 5 5.0
10.471285480508996 6.282771288305398 2511.886431509582 4 none 0 nan
10.471285480508996 6.282771288305398 3162.2776601683795 4 none 0 nan
10.471285480508996 6.282771288305398 3981.0717055349733 4 none 0 nan
10.471285480508996 6.282771288305398 5011.872336272725 4 none 0 nan
10.471285480508996 6.282771288305398 6309.573444801937 4 none 0 nan
10.471285480508996 6.282771288305398 7943.282347242822 4 none 0 nan
10.471285480508996 6.282771288305398 10000.0 4 none 0 nan
10.715193052376065 6.429115831425639 1.0 0 primary 1 1.0
10.715193052376065 6.429115831425639 1.2589254117941673 0 primary 1 1.0
10.715193052376065 6.429115831425639 1.5848931924611136 0 primary 1 1.0
10.715193052376065 6.429115831425639 1.9952623149688797 0 primary 1 1.0
10.715193052376065 6.429115831425639 2.51188643150958 0 primary 1 1.0
10.715193052376065 6.429115831425639 3.1622776601683795 0 primary 1 1.0
10.715193052376065 6.429115831425639 3.981071705534973 0 primary 1 1.0
10.715193052376065 6.429115831425639 5.011872336272724 0 primary 1 1.0
10.715193052376065 6.429115831425639 6.309573444801933 0 primary 1 1.0
10.715193052376065 6.429115831425639 7.943282347242816 1 primary 1 2.0
10.715193052376065 6.429115831425639 10.0 1 primary 1 2.0
10.715193052376065 6.429115831425639 12.589254117941675 1 primary 1 2.0
10.715193052376065 6.429115831425639 15.848931924611142 1 primary 1 2.0
10.715193052376065 6.429115831425639 19.952623149688797 1 primary 1 2.0
10.715193052376065 6.429115831425639 25.11886431509581 1 primary 1 2.0
10.715193052376065 6.429115831425639 31.622776601683793 1 primary 1 2.0
10.715193052376065 6.429115831425639 39.810717055349734 1 primary 1 2.0
10.715193052376065 6.429115831425639 50.11872336272725 1 primary 1 2.0
10.715193052376065 6.429115831425639 63.09573444801933 1 primary 1 2.0
